Customer_ID,Customer_Gender,Customer_Segment
"CUST-02763","Female","Regular"
"CUST-06490","Female","Regular"
"CUST-02148","Female","Regular"
"CUST-02100","Female","Regular"
"CUST-01756","Female","Regular"
"CUST-01885","Female","Regular"
"CUST-05187","Female","Regular"
"CUST-03764","Female","Regular"
"CUST-03219","Female","Regular"
"CUST-03435","Female","Regular"
"CUST-06732","Female","Regular"
"CUST-03730","Female","Regular"
"CUST-03773","Female","Regular"
"CUST-04764","Female","Regular"
"CUST-05967","Female","Regular"
"CUST-01273","Female","Regular"
"CUST-07755","Female","Regular"
"CUST-01268","Female","Regular"
"CUST-07947","Female","Regular"
"CUST-05823","Female","Regular"
"CUST-04523","Female","Regular"
"CUST-07146","Female","Regular"
"CUST-02173","Female","Regular"
"CUST-03827","Female","Regular"
"CUST-06172","Female","Regular"
"CUST-01632","Female","Regular"
"CUST-06907","Female","Regular"
"CUST-06036","Female","Regular"
"CUST-03575","Female","Regular"
"CUST-06685","Female","Regular"
"CUST-04816","Female","Regular"
"CUST-03834","Female","Regular"
"CUST-05889","Female","Regular"
"CUST-03285","Female","Regular"
"CUST-05604","Female","Regular"
"CUST-02434","Female","Regular"
"CUST-02099","Female","Regular"
"CUST-05522","Female","Regular"
"CUST-02469","Female","Regular"
"CUST-03717","Female","Regular"
"CUST-01672","Female","Regular"
"CUST-04924","Female","Regular"
"CUST-04706","Female","Regular"
"CUST-02685","Female","Regular"
"CUST-02499","Female","Regular"
"CUST-01485","Female","Regular"
"CUST-06200","Female","Regular"
"CUST-07457","Female","Regular"
"CUST-06324","Female","Regular"
"CUST-07945","Female","Regular"
"CUST-01112","Female","Regular"
"CUST-03572","Female","Regular"
"CUST-02415","Female","Regular"
"CUST-02528","Female","Regular"
"CUST-01165","Female","Regular"
"CUST-02539","Female","Regular"
"CUST-05866","Female","Regular"
"CUST-07595","Female","Regular"
"CUST-05599","Female","Regular"
"CUST-01038","Female","Regular"
"CUST-01964","Female","Regular"
"CUST-05490","Female","Regular"
"CUST-07572","Female","Regular"
"CUST-03143","Female","Regular"
"CUST-05486","Female","Regular"
"CUST-06871","Female","Regular"
"CUST-02946","Female","Regular"
"CUST-03441","Female","Regular"
"CUST-01671","Female","Regular"
"CUST-01326","Female","Regular"
"CUST-02657","Female","Regular"
"CUST-02790","Female","Regular"
"CUST-03295","Female","Regular"
"CUST-07188","Female","Regular"
"CUST-04042","Female","Regular"
"CUST-04007","Female","Regular"
"CUST-07709","Female","Regular"
"CUST-07835","Female","Regular"
"CUST-02635","Female","Regular"
"CUST-01545","Female","Regular"
"CUST-03911","Female","Regular"
"CUST-02508","Female","Regular"
"CUST-03398","Female","Regular"
"CUST-04498","Female","Regular"
"CUST-06804","Female","Regular"
"CUST-05428","Female","Regular"
"CUST-03682","Female","Regular"
"CUST-01006","Female","Regular"
"CUST-04151","Female","Regular"
"CUST-06232","Female","Regular"
"CUST-07658","Female","Regular"
"CUST-04617","Female","Regular"
"CUST-04409","Female","Regular"
"CUST-06177","Female","Regular"
"CUST-01118","Female","Regular"
"CUST-05125","Female","Regular"
"CUST-02406","Female","Regular"
"CUST-05156","Female","Regular"
"CUST-05047","Female","Regular"
"CUST-01399","Female","Regular"
"CUST-06638","Female","Regular"
"CUST-02012","Female","Regular"
"CUST-06628","Female","Regular"
"CUST-02640","Female","Regular"
"CUST-04134","Female","Regular"
"CUST-02448","Female","Regular"
"CUST-03976","Female","Regular"
"CUST-05848","Female","Regular"
"CUST-06918","Female","Regular"
"CUST-07549","Female","Regular"
"CUST-02624","Female","Regular"
"CUST-02479","Female","Regular"
"CUST-04182","Female","Regular"
"CUST-01682","Female","Regular"
"CUST-06657","Female","Regular"
"CUST-07038","Female","Regular"
"CUST-04417","Female","Regular"
"CUST-01148","Female","Regular"
"CUST-07545","Female","Regular"
"CUST-06136","Female","Regular"
"CUST-03784","Female","Regular"
"CUST-03112","Female","Regular"
"CUST-05531","Female","Regular"
"CUST-04708","Female","Regular"
"CUST-05098","Female","Regular"
"CUST-04457","Female","Regular"
"CUST-07613","Female","Regular"
"CUST-07271","Female","Regular"
"CUST-02442","Female","Regular"
"CUST-07999","Female","Regular"
"CUST-07437","Female","Regular"
"CUST-07925","Female","Regular"
"CUST-01262","Female","Regular"
"CUST-05379","Female","Regular"
"CUST-04462","Female","Regular"
"CUST-03505","Female","Regular"
"CUST-02591","Female","Regular"
"CUST-01895","Female","Regular"
"CUST-07005","Female","Regular"
"CUST-04914","Female","Regular"
"CUST-05218","Female","Regular"
"CUST-07818","Female","Regular"
"CUST-04141","Female","Regular"
"CUST-06570","Female","Regular"
"CUST-05607","Female","Regular"
"CUST-06399","Female","Regular"
"CUST-02160","Female","Regular"
"CUST-04277","Female","Regular"
"CUST-03732","Female","Regular"
"CUST-03404","Female","Regular"
"CUST-03311","Female","Regular"
"CUST-02625","Female","Regular"
"CUST-01502","Female","Regular"
"CUST-01767","Female","Regular"
"CUST-01842","Female","Regular"
"CUST-07842","Female","Regular"
"CUST-01753","Female","Regular"
"CUST-07776","Female","Regular"
"CUST-06107","Female","Regular"
"CUST-02467","Female","Regular"
"CUST-06048","Female","Regular"
"CUST-02981","Female","Regular"
"CUST-01241","Female","Regular"
"CUST-02581","Female","Regular"
"CUST-05807","Female","Regular"
"CUST-04782","Female","Regular"
"CUST-01135","Female","Regular"
"CUST-05160","Female","Regular"
"CUST-02516","Female","Regular"
"CUST-02454","Female","Regular"
"CUST-03984","Female","Regular"
"CUST-03487","Female","Regular"
"CUST-01408","Female","Regular"
"CUST-04876","Female","Regular"
"CUST-07409","Female","Regular"
"CUST-04635","Female","Regular"
"CUST-05718","Female","Regular"
"CUST-04502","Female","Regular"
"CUST-05774","Female","Regular"
"CUST-05376","Female","Regular"
"CUST-03122","Female","Regular"
"CUST-01395","Female","Regular"
"CUST-02033","Female","Regular"
"CUST-03198","Female","Regular"
"CUST-02285","Female","Regular"
"CUST-06915","Female","Regular"
"CUST-01963","Female","Regular"
"CUST-07948","Female","Regular"
"CUST-02413","Female","Regular"
"CUST-02458","Female","Regular"
"CUST-01740","Female","Regular"
"CUST-02665","Female","Regular"
"CUST-06001","Female","Regular"
"CUST-06372","Female","Regular"
"CUST-05676","Female","Regular"
"CUST-05953","Female","Regular"
"CUST-03399","Female","Regular"
"CUST-04382","Female","Regular"
"CUST-03708","Female","Regular"
"CUST-03004","Female","Regular"
"CUST-05824","Female","Regular"
"CUST-06513","Female","Regular"
"CUST-07278","Female","Regular"
"CUST-02708","Female","Regular"
"CUST-01208","Female","Regular"
"CUST-07324","Female","Regular"
"CUST-02366","Female","Regular"
