Order_ID,Order_Date,Customer_ID,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,product_id,shipping_id,location_id,payment_id
"ORD-000007",2024-02-07 00:00:00.000,"CUST-04126",1,0,66.82,47.33,19.49,29.17,6.77,7,7,7,3
"ORD-000019",2022-11-06 00:00:00.000,"CUST-03859",1,0,563.09,254.96,308.13,54.72,35.18,17,18,2,3
"ORD-000204",2023-02-02 00:00:00.000,"CUST-02215",1,0,79.16,37.77,41.39,52.29,8.23,19,59,11,3
"ORD-000321",2021-06-23 00:00:00.000,"CUST-04042",1,0,17.22,10.3,6.92,40.19,89.29,58,42,8,3
"ORD-000103",2023-08-10 00:00:00.000,"CUST-01356",1,0,172.81,104.9,67.91,39.3,10.86,11,44,13,3
"ORD-000292",2023-05-08 00:00:00.000,"CUST-06634",1,0,63.47,39.57,23.9,37.66,10.63,45,65,1,3
"ORD-000075",2021-10-05 00:00:00.000,"CUST-06038",1,0,1599.56,948.34,651.22,40.71,11.78,50,66,11,3
"ORD-000084",2022-11-23 00:00:00.000,"CUST-07286",1,0,173.44,89.52,83.92,48.39,29.04,16,74,2,3
"ORD-000488",2021-08-04 00:00:00.000,"CUST-02731",1,0,53.62,29.43,24.19,45.11,4.6,56,2,1,3
"ORD-000507",2024-06-24 00:00:00.000,"CUST-03009",1,0,100.19,48.78,51.41,51.31,8.15,6,144,9,3
"ORD-000589",2023-12-21 00:00:00.000,"CUST-07143",1,0,79.7,47.88,31.82,39.92,25.57,5,96,3,3
"ORD-000608",2023-10-15 00:00:00.000,"CUST-03444",1,0,179.56,123.59,55.97,31.17,10,45,171,9,3
"ORD-000685",2022-06-02 00:00:00.000,"CUST-01877",1,0,32.87,20.98,11.89,36.17,9.42,23,1,2,3
"ORD-000786",2023-07-25 00:00:00.000,"CUST-04854",1,0,75.85,37.87,37.98,50.07,70.82,53,42,18,3
"ORD-000793",2024-10-03 00:00:00.000,"CUST-03690",1,0,21.23,10.8,10.43,49.13,20.17,28,212,11,3
"ORD-000888",2023-12-27 00:00:00.000,"CUST-07919",1,0,479.68,245.99,233.69,48.72,89.05,17,123,8,3
"ORD-001146",2023-08-13 00:00:00.000,"CUST-05551",1,0,54.23,29.67,24.56,45.29,39,3,234,18,3
"ORD-001179",2024-04-25 00:00:00.000,"CUST-07743",1,0,193.88,135.09,58.79,30.32,9.12,61,192,4,3
"ORD-001188",2023-09-30 00:00:00.000,"CUST-05678",1,0,89.95,44.81,45.14,50.18,76.1,45,24,3,3
"ORD-001339",2023-01-11 00:00:00.000,"CUST-02489",1,0,81.69,41.06,40.63,49.74,62.49,37,207,14,3
"ORD-001372",2022-06-25 00:00:00.000,"CUST-07705",1,0,190.73,108.34,82.39,43.2,6.47,63,110,10,3
"ORD-001389",2021-09-13 00:00:00.000,"CUST-06989",1,0,142.64,100.24,42.4,29.73,22.14,68,13,2,3
"ORD-001411",2024-05-27 00:00:00.000,"CUST-02676",1,0,143.68,89.97,53.71,37.38,9.86,18,130,6,3
"ORD-001417",2022-02-25 00:00:00.000,"CUST-04882",1,0,466.61,349.79,116.82,25.04,36.41,17,22,1,3
"ORD-001468",2023-10-26 00:00:00.000,"CUST-07359",1,0,63.17,32.53,30.64,48.5,98.94,15,86,4,3
"ORD-001626",2023-06-11 00:00:00.000,"CUST-03925",1,0,44.02,31.35,12.67,28.78,90.21,31,123,7,3
"ORD-001654",2023-01-16 00:00:00.000,"CUST-06488",1,0,23.91,15.99,7.92,33.12,8,26,30,15,3
"ORD-001803",2022-07-26 00:00:00.000,"CUST-04953",1,0,68.31,46.43,21.88,32.03,14.92,15,174,7,3
"ORD-001962",2023-12-24 00:00:00.000,"CUST-07451",1,0,204.26,101.59,102.67,50.26,7.48,42,111,5,3
"ORD-001965",2023-10-11 00:00:00.000,"CUST-07018",1,0,254.45,145.08,109.37,42.98,41.72,51,15,12,3
"ORD-002191",2021-11-01 00:00:00.000,"CUST-01041",1,0,80.4,52.73,27.67,34.42,35.13,65,78,18,3
"ORD-002306",2022-12-13 00:00:00.000,"CUST-07730",1,0,99.9,73.65,26.25,26.28,95.18,18,125,15,3
"ORD-002308",2022-09-01 00:00:00.000,"CUST-01677",1,0,508.02,271.67,236.35,46.52,21.31,10,27,6,3
"ORD-002354",2023-12-26 00:00:00.000,"CUST-07287",1,0,12.95,7.84,5.11,39.46,10.39,49,85,7,3
"ORD-002358",2023-05-25 00:00:00.000,"CUST-06635",1,0,257.57,117.49,140.08,54.39,92.72,20,136,16,3
"ORD-002374",2022-06-17 00:00:00.000,"CUST-02745",1,0,68.21,50.39,17.82,26.13,83.21,62,57,15,3
"ORD-002436",2023-01-26 00:00:00.000,"CUST-03371",1,0,19.42,8.82,10.6,54.58,39.85,49,96,2,3
"ORD-002535",2024-05-19 00:00:00.000,"CUST-07476",1,0,283.06,129.23,153.83,54.35,57.04,51,123,1,3
"ORD-002635",2024-03-04 00:00:00.000,"CUST-05720",1,0,27.29,18.87,8.42,30.85,15.16,11,331,14,3
"ORD-002640",2024-06-17 00:00:00.000,"CUST-03226",1,0,449.19,238.65,210.54,46.87,5.89,54,115,13,3
"ORD-002664",2021-12-18 00:00:00.000,"CUST-06213",1,0,119.96,68.77,51.19,42.67,70.9,22,42,12,3
"ORD-002690",2024-01-17 00:00:00.000,"CUST-03097",1,0,27.07,16.94,10.13,37.42,7.7,39,50,5,3
"ORD-002763",2023-06-08 00:00:00.000,"CUST-05523",1,0,137.24,78.65,58.59,42.69,93.14,20,34,7,3
"ORD-002764",2023-09-04 00:00:00.000,"CUST-01532",1,0,38.85,28.47,10.38,26.72,19.33,28,185,5,3
"ORD-002766",2023-06-22 00:00:00.000,"CUST-07631",1,0,234.54,174.54,60,25.58,16.44,42,85,9,3
"ORD-002840",2023-10-29 00:00:00.000,"CUST-07113",1,0,206.82,116.04,90.78,43.89,97.49,42,123,9,3
"ORD-002936",2022-07-15 00:00:00.000,"CUST-07606",1,0,55.26,38.31,16.95,30.67,63.39,15,177,10,3
"ORD-002992",2024-07-24 00:00:00.000,"CUST-01843",1,0,163.37,115.94,47.43,29.03,13.3,67,44,9,3
"ORD-003005",2023-08-26 00:00:00.000,"CUST-04085",1,0,372.68,267.19,105.49,28.31,61.37,25,34,9,3
"ORD-003010",2023-06-22 00:00:00.000,"CUST-05472",1,0,423.59,214.53,209.06,49.35,3.49,10,2,3,3
"ORD-003054",2023-05-08 00:00:00.000,"CUST-03505",1,0,641.65,344.27,297.38,46.35,32.57,57,14,13,3
